52,42,21,71,25,5,0
83,68,29,88,8,4,1
93,48,56,84,35,1,1
82,186,183,78,10,7,1
67,11,90,82,15,1,0
69,169,98,84,18,5,0
17,188,95,69,45,7,0
11,41,124,9,34,2,1
92,57,17,49,29,4,1
27,147,197,96,29,7,0
72,134,75,83,31,5,1
37,89,184,14,35,7,0
58,135,181,57,25,6,0
80,160,180,13,31,7,1
6,173,113,82,22,8,0
55,100,60,82,32,4,1
76,146,153,12,38,8,1
69,141,88,16,38,7,0
68,13,82,29,19,3,0
92,106,155,76,21,6,1
14,5,74,85,14,3,0
7,148,80,51,32,4,0
6,173,113,82,22,8,0
61,157,46,43,9,7,0
8,78,80,86,15,5,0
52,42,21,71,25,5,1
36,41,156,22,46,7,1
61,34,140,88,29,6,1
19,133,177,79,42,5,0
3,121,89,96,38,8,1
29,100,40,53,41,5,0
96,93,110,64,42,7,0
72,85,195,35,17,5,1
12,38,88,36,6,7,0
9,116,170,92,28,5,1
22,111,16,92,44,8,0
23,141,134,16,23,2,1
12,129,141,7,38,5,1
48,158,104,10,26,8,0
44,85,110,82,7,2,0
53,63,112,34,5,2,1
27,147,197,96,29,7,0
69,169,98,84,18,5,0
42,45,175,83,22,1,1
41,14,70,26,41,4,1
96,190,50,31,42,8,1
38,141,11,81,14,3,0
20,173,97,45,9,9,1
69,141,88,16,38,7,0
76,146,153,12,38,8,1
33,175,178,73,13,4,1
23,169,187,56,38,6,1
21,51,181,34,32,6,0
12,66,86,21,12,4,0
42,169,45,12,29,7,0
89,177,85,52,14,5,1
77,100,66,77,42,7,1
80,6,173,72,30,4,0
76,80,57,27,12,4,0
62,185,128,29,47,7,0
58,135,181,57,25,6,1
62,115,13,28,3,9,1
38,141,11,81,14,3,0
18,90,192,73,43,8,1
40,19,26,66,32,6,1
94,23,196,20,47,9,1
91,155,174,80,24,7,0
22,103,162,37,12,6,0
32,123,7,49,48,5,1
82,186,183,78,10,7,0
49,69,191,42,17,6,1
96,148,126,30,21,8,0
25,136,25,7,16,7,1
94,23,196,20,47,9,0
37,89,184,14,35,7,0
76,41,180,49,43,8,0
55,187,75,66,7,8,1
76,41,180,49,43,8,0
3,121,89,96,38,8,0
61,34,140,88,29,6,1
79,78,150,85,37,8,1
14,5,74,85,14,3,1
52,102,121,36,42,5,1
80,160,180,13,31,7,1
43,173,130,79,19,6,1
43,105,171,98,9,4,0
61,157,46,43,9,7,0
41,115,106,43,47,4,0
42,45,175,83,22,1,1
95,127,63,74,22,5,0
46,81,23,77,27,7,0
13,154,93,22,40,8,0
18,48,33,27,25,5,1
55,187,75,66,7,8,1
87,21,70,68,44,7,1
77,100,66,77,42,7,1
8,78,80,86,15,5,0
76,80,57,27,12,4,0
48,46,60,16,26,2,1
20,150,170,60,18,2,0
89,145,126,99,36,8,0
93,86,82,20,28,0,0
91,60,156,55,14,5,0
90,147,45,35,31,5,0
22,191,13,49,42,6,1
77,100,66,77,42,7,0
35,132,74,86,14,3,1
57,194,93,27,20,5,0
95,14,32,12,11,8,1
72,134,75,83,31,5,0
81,124,122,16,7,6,0
80,82,9,53,23,2,0
72,85,195,35,17,5,1
36,41,156,22,46,7,1
71,66,20,14,20,8,0
80,37,126,57,33,7,1
70,7,178,12,7,6,1
93,86,82,20,28,0,1
29,100,40,53,41,5,1
21,51,181,34,32,6,0
25,136,25,7,16,7,0
55,100,60,82,32,4,1
43,105,171,98,9,4,1
15,56,148,80,12,7,0
30,70,31,11,23,5,0
81,153,196,61,46,5,1
12,167,151,25,5,6,0
40,19,26,66,32,6,0
70,7,178,12,7,6,1
69,169,98,84,18,5,1
21,67,10,90,11,5,1
81,124,122,16,7,6,0
68,169,149,67,47,5,0
89,177,85,52,14,5,1
7,82,139,62,44,7,1
23,183,34,84,31,5,0
20,150,170,60,18,2,0
15,56,148,80,12,7,1
30,59,32,34,23,6,1
20,173,97,45,9,9,0
35,132,74,86,14,3,1
12,129,141,7,38,5,0
13,154,93,22,40,8,1
61,34,140,88,29,6,1
96,190,50,31,42,8,0
3,121,89,96,38,8,0
80,6,173,72,30,4,0
73,39,189,63,13,3,0
32,123,7,49,48,5,1
81,124,122,16,7,6,1
91,60,156,55,14,5,0
74,149,22,14,35,8,0
89,145,126,99,36,8,1
22,103,162,37,12,6,0
48,158,104,10,26,8,1
67,90,187,89,38,2,0
12,167,151,25,5,6,1
15,56,148,80,12,7,0
95,127,63,74,22,5,0
30,59,32,34,23,6,1
96,148,126,30,21,8,1
80,131,175,32,32,4,1
